plug_id;well_id;depth;stratigraphic_group
383;6635;2580,39;SCANDIUM
384;6635;2637,81;CALCIUM
385;6635;2638,7;CALCIUM
386;6635;2641,29;CALCIUM
387;6635;2643,42;CALCIUM
388;6635;2644,61;CALCIUM
389;6635;2837,64;TITANIUM
390;6635;2840,79;TITANIUM
391;6635;2843;TITANIUM
392;6635;2843,34;TITANIUM
393;6635;2845,46;TITANIUM
394;6635;2848,61;TITANIUM
395;6635;2850,94;TITANIUM
396;6635;2850,99;TITANIUM
397;6635;2852,35;TITANIUM
398;6635;2852,35;TITANIUM
399;6635;2853,71;TITANIUM
400;6635;2853,83;TITANIUM
401;6635;2854,77;TITANIUM
402;6635;2857,02;TITANIUM
403;6635;2859,7;TITANIUM
404;6635;2859,83;TITANIUM
405;6635;2860,59;TITANIUM
406;6635;2860,63;TITANIUM
407;6635;2862,8;TITANIUM
408;6635;2866,2;TITANIUM
409;6635;2866,37;TITANIUM
410;6635;2868,03;TITANIUM
411;6635;2868,62;TITANIUM
412;6635;2871,64;TITANIUM
413;6635;2871,81;TITANIUM
414;6635;2873,17;VANADIUM
415;6635;2873,6;VANADIUM
416;6635;2876,83;VANADIUM
417;6635;2880,57;VANADIUM
418;6635;2881,46;VANADIUM
419;6635;2881,5;VANADIUM
420;6635;2639,17;CALCIUM
421;6635;2639,68;CALCIUM
422;6635;2639,93;CALCIUM
423;6635;2644,86;CALCIUM
424;6635;2646,31;CALCIUM
425;6635;2839,68;TITANIUM
426;6635;2843,74;TITANIUM
427;6635;2856,13;TITANIUM
428;6635;2856,62;TITANIUM
429;6635;2863,4;TITANIUM
430;6635;;
431;6635;2640,19;CALCIUM
432;6635;2642,52;CALCIUM
433;6635;2646,01;CALCIUM
434;6635;;
435;6635;2843,72;TITANIUM
436;6635;2845,46;TITANIUM
437;6635;2854,13;TITANIUM
438;6635;;
439;6635;;
440;6635;2641,63;CALCIUM
441;6635;2642,82;CALCIUM
442;6635;2643,71;CALCIUM
443;6635;;
444;6635;2839,55;TITANIUM
445;6635;2840,15;TITANIUM
446;6635;2847,76;TITANIUM
447;6635;2859,1;TITANIUM
448;6635;2859,4;TITANIUM
449;6635;2637,81;CALCIUM
450;6635;2638,7;CALCIUM
451;6635;2644,61;CALCIUM
452;6635;2850,99;TITANIUM
453;6635;2857,02;TITANIUM
454;6635;2873,6;VANADIUM
455;6635;2880,57;VANADIUM
456;6635;2881,46;VANADIUM
457;6635;2577,41;SCANDIUM
458;6635;2577,84;SCANDIUM
459;6635;2578,26;SCANDIUM
460;6635;2580,09;SCANDIUM
461;6635;2580,39;SCANDIUM
462;6635;2583,36;SCANDIUM
463;6635;2637,55;CALCIUM
464;6635;2637,81;CALCIUM
465;6635;2638,1;CALCIUM
466;6635;2638,4;CALCIUM
467;6635;2638,7;CALCIUM
468;6635;2638,95;CALCIUM
469;6635;2639,34;CALCIUM
470;6635;2639,68;CALCIUM
471;6635;2639,93;CALCIUM
472;6635;2640,19;CALCIUM
473;6635;2640,44;CALCIUM
474;6635;2640,74;CALCIUM
475;6635;2641,04;CALCIUM
476;6635;2641,29;CALCIUM
477;6635;2641,63;CALCIUM
478;6635;2641,97;CALCIUM
479;6635;2642,27;CALCIUM
480;6635;2642,52;CALCIUM
481;6635;2642,82;CALCIUM
482;6635;2643,12;CALCIUM
483;6635;2643,42;CALCIUM
484;6635;2643,71;CALCIUM
485;6635;2644,01;CALCIUM
486;6635;2644,31;CALCIUM
487;6635;2644,61;CALCIUM
488;6635;2645,12;CALCIUM
489;6635;2645,33;CALCIUM
490;6635;2645,63;CALCIUM
491;6635;2646,01;CALCIUM
492;6635;2646,31;CALCIUM
493;6635;2837,34;TITANIUM
494;6635;2837,64;TITANIUM
495;6635;2838,07;TITANIUM
496;6635;2838,36;TITANIUM
497;6635;2838,66;TITANIUM
498;6635;2838,96;TITANIUM
499;6635;2839,26;TITANIUM
500;6635;2839,55;TITANIUM
501;6635;2839,85;TITANIUM
502;6635;2840,15;TITANIUM
503;6635;2840,45;TITANIUM
504;6635;2840,74;TITANIUM
505;6635;2841,04;TITANIUM
506;6635;2841,34;TITANIUM
507;6635;2841,64;TITANIUM
508;6635;2841,93;TITANIUM
509;6635;2842,32;TITANIUM
510;6635;2842,53;TITANIUM
511;6635;2843;TITANIUM
512;6635;2843,42;TITANIUM
513;6635;2843,72;TITANIUM
514;6635;2843,97;TITANIUM
515;6635;2844,27;TITANIUM
516;6635;2844,53;TITANIUM
517;6635;2844,82;TITANIUM
518;6635;2845,12;TITANIUM
519;6635;2845,46;TITANIUM
520;6635;2845,8;TITANIUM
521;6635;2846,1;TITANIUM
522;6635;2846,35;TITANIUM
523;6635;2846,65;TITANIUM
524;6635;2846,95;TITANIUM
525;6635;2847,2;TITANIUM
526;6635;2847,5;TITANIUM
527;6635;2847,76;TITANIUM
528;6635;2848,05;TITANIUM
529;6635;2848,35;TITANIUM
530;6635;2848,61;TITANIUM
531;6635;2848,9;TITANIUM
532;6635;2849,75;TITANIUM
533;6635;2850,56;TITANIUM
534;6635;2850,94;TITANIUM
535;6635;2851,24;TITANIUM
536;6635;2851,5;TITANIUM
537;6635;2851,79;TITANIUM
538;6635;2852,05;TITANIUM
539;6635;2852,35;TITANIUM
540;6635;2852,64;TITANIUM
541;6635;2852,94;TITANIUM
542;6635;2853,24;TITANIUM
543;6635;2853,54;TITANIUM
544;6635;2853,83;TITANIUM
545;6635;2854,13;TITANIUM
546;6635;2854,43;TITANIUM
547;6635;2854,77;TITANIUM
548;6635;2855,02;TITANIUM
549;6635;2855,28;TITANIUM
550;6635;2855,58;TITANIUM
