plug_id;a;b;c;d;e;f
383;;;0,23;2,25;0,55;
384;;;0,32;2,03;0,62;
385;;;0,33;1,99;0,62;
386;;;0,3;2,03;0,59;
387;;;0,31;2,04;0,61;
388;;;0,22;52,11;2,61;
389;;;0,29;33,46;2,84;
390;;;0,1;10;1;
391;;;0,22;2,43;0,59;
392;;;0,1;10;1;
393;;;0,29;2,08;0,59;
394;;;0,18;161,63;2,97;
395;;;0,23;87,4;3,04;
396;;;0,1;10;1;
397;;;0,27;47,29;2,95;
398;;;0,1;10;1;
399;;;0,1;10;1;
400;;;0,28;31,62;2,71;
401;;;0,3;26,37;2,72;
402;;;0,27;36,46;2,75;
403;;;0,27;35,49;2,73;
404;;;0,1;10;1;
405;;;0,21;2,46;0,58;
406;;;0,1;10;1;
407;;;0,28;36,67;2,83;
408;;;0,31;25,7;2,77;
409;;;0,1;10;1;
410;;;0,17;181,59;2,94;
411;;;0,23;2,25;0,55;
412;;;0,1;10;1;
413;;;0,24;58,06;2,85;
414;;;0,1;10;1;
415;;;0,24;2,25;0,57;
416;;;0,26;2,23;0,6;
417;;;0,26;50;2,9;
418;;;0,32;22,28;2,72;
419;;;0,1;10;1;
420;;;0,31;;;87,02
421;;;0,31;;;157,03
422;;;0,3;;;55,81
423;;;0,26;;;14,29
424;;;0,31;;;78,86
425;;;0,26;;;307,4
426;;;0,26;;;1918,03
427;;;0,24;;;14,91
428;;;0,23;;;12,29
429;;;0,25;;;7,89
430;;;0,2;40,33;2,3;
431;;;0,3;18;2,4;
432;;;0,3;16,7;2,34;
433;;;0,24;38,96;2,57;
434;;;0,27;28,88;2,57;
435;;;0,26;26,86;2,44;
436;;;0,24;27,47;2,32;
437;;;0,27;27,44;2,53;
438;;;0,21;46,7;2,46;
439;;;0,23;30,67;2,33;
440;;;0,29;15,62;2,22;
441;;;0,29;18,43;2,35;
442;;;0,31;17,36;2,44;
443;;;0,23;36,32;2,44;
444;;;0,22;45,69;2,52;
445;;;0,23;60,45;2,79;
446;;;0,19;92,63;2,73;
447;;;0,29;25,39;2,61;
448;;;0,27;26,86;2,51;
449;;;0,32;;;119,83
450;;;0,32;;;176
451;;;0,22;;;1,2
452;;;0,21;;;0,85
453;;;0,28;;;76,1
454;;;0,23;;;22,69
455;;;0,26;;;3,55
456;;;0,31;;;409,69
457;;;0,24;;;1,39
458;;;;;;
459;;;0,22;;;1,73
460;;;0,18;;;1,62
461;;;0,23;;;2,71
462;;;0,31;;;202,53
463;;;0,36;;;269,67
464;;;0,32;;;279,32
465;;;0,11;;;0,57
466;;;0,11;;;0,52
467;;;0,33;;;173,61
468;;;0,32;;;150,51
469;;;0,3;;;58,93
470;;;0,31;;;122,93
471;;;0,3;;;56,16
472;;;0,3;;;60,81
473;;;0,29;;;48,79
474;;;0,31;;;82,94
475;;;0,31;;;132,28
476;;;0,3;;;10,81
477;;;0,31;;;114,57
478;;;0,28;;;35,35
479;;;0,21;;;3,21
480;;;0,31;;;104,25
481;;;0,29;;;55,82
482;;;0,31;;;96,96
483;;;0,31;;;96,54
484;;;0,3;;;81,7
485;;;0,21;;;0,82
486;;;;;;
487;;;0,22;;;2,34
488;;;0,26;;;14,29
489;;;0,21;;;1,34
490;;;0,17;;;0,7
491;;;0,25;;;45,18
492;;;0,31;;;75,81
493;;;0,24;;;21,95
494;;;0,29;;;511,68
495;;;0,27;;;149,06
496;;;0,3;;;1516,59
497;;;0,25;;;90,24
498;;;0,14;;;0,35
499;;;;;;
500;;;0,24;;;22,64
501;;;0,27;;;176,27
502;;;0,25;;;28,11
503;;;0,26;;;1905,7
504;;;0,28;;;4797,24
505;;;0,2;;;11,4
506;;;0,2;;;1,14
507;;;0,26;;;320
508;;;0,21;;;6,51
509;;;0,22;;;4,73
510;;;0,17;;;1,48
511;;;0,22;;;6,15
512;;;0,22;;;6,91
513;;;0,27;;;710,37
514;;;0,27;;;1100,88
515;;;0,19;;;23,54
516;;;0,24;;;91,35
517;;;0,22;;;22,32
518;;;0,3;;;1564,09
519;;;0,29;;;1748,33
520;;;0,28;;;1102,07
521;;;0,25;;;125,75
522;;;0,28;;;246,97
523;;;0,23;;;134,93
524;;;0,15;;;143,92
525;;;0,16;;;4,51
526;;;0,19;;;12,43
527;;;0,19;;;19,35
528;;;0,24;;;61,5
529;;;0,13;;;0,5
530;;;0,18;;;1,69
531;;;;;;
532;;;;;;
533;;;0,21;;;1,88
534;;;0,23;;;1,43
535;;;0,22;;;1,59
536;;;0,27;;;9,24
537;;;0,2;;;1,21
538;;;0,25;;;5,41
539;;;0,27;;;7,88
540;;;0,24;;;5,3
541;;;0,28;;;8,24
542;;;0,27;;;25,45
543;;;0,18;;;2,97
544;;;0,28;;;197,81
545;;;0,28;;;134,97
546;;;0,23;;;10,19
547;;;0,3;;;502,33
548;;;0,3;;;649,77
549;;;0,25;;;30,12
550;;;0,23;;;5,86
551;;;0,27;;;14,59
552;;;0,24;;;16,5
553;;;;;;
554;;;0,26;;;40,9
555;;;0,27;;;70,98
556;;;0,29;;;251,33
557;;;0,28;;;102,71
558;;;0,27;;;80,72
559;;;0,23;;;8,34
560;;;0,27;;;61,24
561;;;0,21;;;45,94
562;;;0,28;;;27,01
563;;;0,29;;;36,43
564;;;0,25;;;98,27
565;;;0,24;;;125,93
566;;;0,29;;;27,23
567;;;0,31;;;438,13
568;;;0,31;;;172,22
569;;;0,24;;;6,64
570;;;0,28;;;35,9
571;;;0,21;;;3,69
572;;;0,13;;;0,48
573;;;0,14;;;0,8
574;;;0,17;;;1,29
575;;;0,16;;;0,84
576;;;0,23;;;6,01
577;;;0,24;;;2,09
578;;;0,23;;;1,83
579;;;0,23;;;2,21
580;;;0,19;;;1,14
581;;;0,21;;;1,02
582;;;0,24;;;3,41
583;;;0,24;;;6,33
584;;;0,17;;;1,4
585;;;0,27;;;12,79
586;;;0,28;;;26,21
587;;;0,26;;;17,14
588;;;0,24;;;19,5
589;;;0,24;;;44,72
590;;;0,19;;;6,5
591;;;0,2;;;5,38
592;;;;;;
593;;;0,22;;;2,9
594;;;0,23;;;1,21
595;;;0,18;;;0,26
596;;;0,26;;;0,95
597;;;0,27;;;6,3
598;;;;;;
599;;;0,26;;;4,29
600;;;0,25;;;3,13
601;;;0,28;;;70
602;;;0,32;;;407,76
1200;;;0,35;13,37;2,47;2883,9
1205;;;0,35;12,85;2,43;2372,66
1207;4,54;3,82;0,35;;;2592,11
1208;4,54;3,79;0,34;;;2550
1209;4,57;3,82;0,35;;;2350,94
1210;4,53;3,81;0,35;;;2215,36
1212;;;0,34;14,97;2,51;803,4
1219;;;0,35;14,34;2,54;688,16
1233;;;0,37;10,44;2,36;3003,83
1234;;;0,35;;;163,86
1235;;;0,38;;;1545,5
1236;4,58;3,72;0,38;;;1749,01
1237;4,46;3,73;0,37;;;1485,12
1238;;;0,38;;;1714,48
1239;4,57;3,77;0,37;;;1515,36
1240;;;0,4;;;4767,8
1241;;;;;;
1242;;;0,35;;;2158,76
1243;;;0,29;;;5,01
1244;4,29;3,8;0,33;;;1815,66
1245;4,58;3,78;0,34;;;1626,67
1246;4,56;3,77;0,35;;;1580,22
1247;;;0,33;;;1941,57
1248;;;0,35;;;1588,56
1249;;;0,36;;;3076,36
1250;4,53;3,8;0,35;;;506,41
1251;4,53;3,8;0,3;;;128,38
1252;4,55;3,78;0,35;;;1391,03
1253;;;0,35;;;538,16
1254;;;0,29;;;11,96
1255;;;0,32;;;157,97
1256;;;0,31;;;216,59
1257;;;0,32;;;280,84
1258;4,34;3,68;0,32;;;84,35
1259;4,25;3,82;0,38;;;121,96
1260;;;0,38;;;1748
1261;;;0,39;;;1874,03
1262;4,63;3,65;0,39;;;2887,5
1263;4,45;3,75;0,4;;;2244,51
1264;4,54;3,69;0,39;;;3378,34
1265;;;0,4;;;4000
1266;;;0,39;;;4142,97
1267;4,54;3,71;0,39;;;4604,52
1268;;;0,35;;;1514,04
1269;;;0,36;;;1526,09
1270;;;0,34;;;1913,79
1271;;;0,33;;;6733,6
1272;4,6;3,77;0,35;;;7848,88
1273;;;0,35;;;4457,69
1280;5,95;3,81;0,2;73;2,67;
1281;5,9;3,82;0,26;46,63;2,85;
1282;6,05;3,81;0,35;18,59;2,78;
1283;5,99;3,82;0,34;20,06;2,78;
1284;6,03;3,81;0,35;18,48;2,78;
1285;5,98;3,82;0,25;58,73;2,94;
1286;5,95;3,82;0,25;45,26;2,75;
1287;5,9;3,81;0,36;18,72;2,87;
1288;5,59;3,8;0,34;21,58;2,85;
1289;5,54;3,8;0,23;64,28;2,83;
1290;5,91;3,81;0,45;7,41;2,51;
1291;5,22;3,8;0,47;6,93;2,56;
1292;5,66;3,8;0,48;5,84;2,4;
1293;5,08;3,79;0,38;13,05;2,65;
1294;5,87;3,79;0,45;7,48;2,52;
1295;5,75;3,79;0,45;7,31;2,49;
1296;5,94;3,82;0,37;13,24;2,6;
1297;5,89;3,81;0,4;9,76;2,49;
1298;5,9;3,8;0,39;10,4;2,49;
1299;5,83;3,81;0,25;40,15;2,66;
1300;;;;;;
1301;;;;;;
1302;;;;;;
1303;;;;;;
1304;;;;;;
1305;6,07;3,81;0,31;19,47;2,53;182,82
1306;6,05;3,81;0,17;112,08;2,66;0,24
1307;6,04;3,81;0,26;31,63;2,56;52,43
1308;6,06;3,81;0,26;34,13;2,62;35,9
1309;6,05;3,81;0,28;26;2,56;338,57
1310;6,06;3,81;0,24;44;2,65;7,68
1311;6,05;3,81;0,26;34,86;2,64;110,25
1312;6,06;3,81;0,29;22,45;2,51;2120,63
1313;6,05;3,81;0,26;32,71;2,59;220
1314;5,35;3,79;0,18;82,31;2,57;1,26
1315;6,06;3,8;0,19;81,87;2,65;1,97
1316;6,04;3,79;0,26;29,25;2,51;378,7
1317;6,06;3,8;0,26;31,09;2,55;163,91
1318;4,93;3,78;0,37;;;117,49
1318;;;0,38;14;2,73;
1319;4,91;3,76;0,37;;;260,14
1319;;;0,38;12,68;2,63;
1320;4,94;3,65;0,37;;;348,53
1320;;;0,37;12,16;2,51;
1321;4,71;3,47;0,42;;;5474,96
1321;;;0,42;7,83;2,37;
1322;4,58;3,49;0,42;;;4231,16
1322;;;0,41;8,18;2,36;
1324;4,97;3,7;0,37;;;353,18
1324;;;0,36;12,13;2,44;
1325;4,94;3,8;0,39;;;383,67
1325;;;0,39;10,49;2,5;
1327;4,88;3,64;0,42;;;4847,76
1327;;;0,42;7,56;2,33;
1328;4,38;3,75;0,41;;;109,75
1328;;;0,41;11,09;2,7;
1330;4,53;3,67;0,44;;;6445,07
1330;;;0,44;6,87;2,35;
1331;4,86;3,61;0,44;;;7065,96
1331;;;0,44;6,93;2,36;
1333;4,93;3,57;0,42;;;3343,85
1333;;;0,42;7,16;2,27;
1334;4,82;3,61;0,43;;;7455,39
1334;;;0,43;7,05;2,31;
1335;4,74;3,63;0,45;;;5923,59
1335;;;0,46;6,89;2,49;
1336;4,66;3,6;0,44;;;6601,21
1336;;;0,44;6,61;2,3;
1337;4,76;3,58;0,41;;;4604,71
1337;;;0,39;7,8;2,18;
1338;4,71;3,66;0,41;;;6622,79
1338;;;0,41;7,36;2,24;
1340;5,11;;0,19;98,55;2,76;0,43
1341;2,57;;0,2;;;0,45
1342;3,2;;;;;
1343;5,11;;;;;
1344;2,57;;0,22;;;1,53
1345;7,01;;0,23;;;0,51
1346;5,11;;0,16;105,33;2,54;0,13
1347;2,57;;0,18;;;0,33
1348;4,47;;;;;
1349;5,11;;;;;
1350;2,57;;0,23;;;16,43
1351;7,39;;;;;
1352;4,47;;;;;
1353;5,11;;0,23;28,39;2,28;63,45
1354;2,57;;0,24;;;43,2
1355;3,84;;0,24;;;68,25
1356;7,01;;;;;
1357;5,11;;;;;
1358;2,57;;0,2;;;1,21
1359;5,11;;;;;
1360;7,65;;;;;
1361;5,11;;;;;
1362;2,57;;0,2;;;3,23
1363;6,38;;;;;
1364;5,11;;;;;
1365;2,57;;0,2;;;2,96
1366;4,09;;;;;
1367;5,11;;0,21;36,79;2,31;4,07
1368;2,57;;0,22;;;4,53
1369;7,9;;;;;
1370;8,28;;;;;
