id;k;l;m
383;;1,28;0,17
384;;13,18;2,26
385;;11,73;2,22
386;;14,79;2,24
387;;11,9;2,11
388;;28,39;2,21
389;;20,4;2,44
390;;1,28;0,11
391;;44,2;2,5
392;;1,28;0,11
393;;16,83;2,28
394;;73,27;2,5
395;;46,84;2,62
396;;1,28;0,11
397;;27,54;2,53
398;;1,28;0,11
399;;1,28;0,11
400;;19,3;2,33
401;;16,07;2,31
402;;22,27;2,37
403;;21,68;2,35
404;;1,28;0,11
405;;40,63;2,37
406;;1,28;0,11
407;;21,93;2,43
408;;16,49;2,39
409;;1,28;0,11
410;;79,9;2,47
411;;45,48;2,6
412;;1,28;0,11
413;;31,88;2,43
414;;1,28;0,11
415;;39,19;2,57
416;;36,72;2,67
417;;29,75;2,52
418;;14,03;2,32
419;;1,28;0,11
1234;0,68;10,03;2,2
1239;0,66;8,67;2,17
1240;0,41;6,38;2,02
1242;0,81;10,12;2,2
1243;3,01;23,72;2,56
1244;0,64;9,69;2,05
1245;0,46;9,52;2,09
1246;0,6;9,78;2,17
1247;0,48;10,46;2,12
1249;0,43;8,67;2,11
1250;0,72;10,03;2,2
1251;0,49;15,9;2,3
1252;0,6;9,61;2,16
1253;0,67;11,14;2,3
1254;0,82;18,7;2,37
1256;0,71;14,28;2,27
1258;1,08;13,09;2,26
1259;1,79;11,99;2,57
1260;0,67;7,57;2,09
1262;0,57;6,97;2,06
1264;0,51;6,72;2,02
1266;0,5;6,89;2,05
1268;0,55;9,01;2,09
1270;0,71;9,78;2,11
1273;0,74;8,33;2,02
1274;0,78;9,61;
2198;0,05;;
2203;0,2;;
2208;0,65;;
2217;0,31;;
2220;0,43;;
2222;0,41;;
2224;0,54;;
2244;0,75;8,76;2,18
2246;0,79;8,84;2,13
2247;0,74;9,01;2,15
2249;0,83;10,29;2,22
2252;1,23;14,54;2,29
2254;1,45;19,04;2,38
2256;2,3;21,08;2,46
2269;1,05;23,61;
2271;0,32;20,73;3,31
2272;1,65;50;3,16
2273;0,65;24,28;3,21
2274;0,78;17,71;
2276;0,48;34;3,27
2312;0,04;8,33;2,25
2313;0,54;12,07;2,31
2315;0,1;10,12;2,2
2317;0,92;17,17;2,43
2318;0,57;16,07;2,5
2321;1,34;13,69;2,49
2322;0,68;17,17;2,43
2324;0,17;10,46;2,3
2325;0,41;14,96;2,37
2327;0,56;7,57;2,27
2328;1,8;23,55;2,48
2329;0,37;7,06;2,13
2332;0,32;34,94;2,49
2335;0,99;32,81;2,67
2338;0,39;20,74;2,45
2339;0,34;21,59;2,35
2344;0,48;32,22;2,65
2353;0,84;11,14;2,36
2353;0,77;11,05;2,35
2354;0,56;12,5;2,47
2354;0,44;12,24;2,45
2355;1,17;28,99;2,64
2355;0,65;27,12;2,59
2356;0,82;10,54;2,37
2356;1,02;10,8;2,39
2357;0,9;14,96;2,37
2357;0,76;14,71;2,36
2358;0,88;13,77;2,37
2358;0,4;12,92;2,31
2359;0,8;10,97;2,34
2359;0,51;10,54;2,31
2360;1,45;11,31;2,44
2360;1,16;10,97;2,41
2361;1,72;22,19;2,5
2361;1,41;21,34;2,47
2741;0,82;19,38;2,33
2743;1,73;24,82;2,38
2745;1,68;24,48;2,44
2750;1,24;45,73;2,6
2753;2,73;34,17;2,62
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
