plug_id;n;o;p
431;;0,85;0,85
431;;0,85;0,85
431;;0,82;0,9
431;;0,39;3,69
431;;0,24;8,76
431;;0,18;15,73
432;;0,8;0,98
432;;0,74;1,11
432;;0,54;1,89
432;;0,28;5,63
432;;0,19;11,05
432;;0,16;15,56
433;;0,85;0,85
433;;0,85;0,85
433;;0,85;0,85
433;;0,83;0,88
433;;0,64;1,43
433;;0,43;2,87
434;;0,81;0,9
434;;0,64;1,44
434;;0,35;3,91
434;;0,19;11,48
434;;0,16;15,98
434;;0,12;23,55
435;;0,57;1,86
435;;0,46;2,54
435;;0,24;9,1
435;;0,21;11,48
436;;0,66;1,37
436;;0,52;2,22
436;;0,31;5,99
436;;0,19;14,62
436;;0,17;21,59
436;;0,15;27,88
437;;0,8;0,96
437;;0,64;1,45
437;;0,32;5,53
438;;0,85;0,85
438;;0,85;0,85
438;;0,69;1,33
438;;0,48;3,15
438;;0,43;3,77
438;;0,39;4,8
1200;0;0,85;0,85
1200;0,04;0,5;2,21
1200;0,09;0,2;11,82
1200;0,26;0,12;33,75
1200;0,85;0,08;71,4
1200;1,7;0,06;107,95
1200;3,4;0,05;170,85
1205;0;0,85;0,85
1205;0,04;0,29;6,04
1205;0,09;0,2;12,92
1205;0,26;0,13;32,81
1205;0,85;0,08;69,7
1205;1,7;0,06;104,55
1205;3,4;0,05;160,65
1212;0;0,85;0,85
1212;0,04;0,78;1,02
1212;0,09;0,4;3,91
1212;0,26;0,31;7,57
1212;0,85;0,22;16,15
1212;1,7;0,16;28,9
1212;3,4;0,12;55,25
1219;0;0,66;1,36
1219;0,04;0,36;4,51
1219;0,09;0,35;5,19
1219;0,26;0,32;6,89
1219;0,85;0,24;14,45
1219;1,7;0,18;25,5
1219;3,4;0,14;50,15
1233;0;0,71;1,7
1233;0,04;0,2;19,72
1233;0,09;0,19;25,33
1233;0,26;0,15;48,54
1233;0,85;0,11;113,9
1233;1,7;0,09;178,5
1233;3,4;0,08;300,05
1234;0;0,85;0,85
1234;0,09;0,85;0,88
1234;0,09;0,84;0,89
1234;0,17;0,82;0,96
1234;0,34;0,56;2,18
1234;0,68;0,39;4,38
1234;1,7;0,3;8,14
1234;4,25;0,23;14,76
1234;10,2;0,15;35,11
1234;12,75;0,14;40,47
1239;0;0,85;0,85
1239;0,04;0,83;0,85
1239;0,09;0,77;1,02
1239;0,17;0,39;3,66
1239;0,34;0,25;9,78
1239;0,68;0,18;17,77
1239;1,7;0,14;33,32
1239;4,25;0,11;55,08
1239;12,75;0,09;84,83
1240;0;0,85;0,85
1240;0,04;0,84;0,85
1240;0,09;0,6;1,7
1240;0,17;0,25;9,44
1240;0,34;0,15;20,4
1240;0,68;0,13;32,3
1240;1,7;0,1;56,44
1240;4,25;0,09;85,09
1240;12,75;0,07;130,48
1242;0;0,85;0,85
1242;0,04;0,81;0,94
1242;0,09;0,7;1,19
1242;0,17;0,41;3,49
1242;0,34;0,22;10,71
1242;0,68;0,17;17,17
1242;1,7;0,14;27,03
1242;4,25;0,12;40,55
1242;12,75;0,1;65,37
1243;0;0,85;0,85
1243;0,04;0,85;0,85
1243;0,09;0,84;0,85
1243;0,17;0,83;0,85
1243;0,34;0,82;0,85
1243;0,68;0,82;0,85
1243;1,7;0,69;1,28
1243;4,25;0,53;2,13
1243;10,2;0,41;3,23
1243;12,75;0,39;3,4
1244;0;0,85;0,85
1244;0,04;0,84;0,94
1244;0,09;0,74;1,19
1244;0,17;0,23;7,31
1244;0,34;0,14;19,3
1244;0,68;0,09;39,1
1244;1,7;0,07;84,15
1244;12,75;0,03;267,84
1246;0;0,85;0,85
1246;0,04;0,84;0,94
1246;0,09;0,72;1,19
1246;0,17;0,27;6,38
1246;0,34;0,17;15,05
1246;0,68;0,14;27,88
1246;1,7;0,09;55,34
1246;4,25;0,07;108,29
1246;12,75;0,06;202,73
1247;0;0,85;0,85
1247;0,04;0,82;0,94
1247;0,09;0,74;1,19
1247;0,17;0,43;4,25
1247;0,34;0,32;8,84
1247;0,68;0,2;22,36
1247;1,7;0,14;56,53
1247;4,25;0,09;125,12
1247;10,2;0,07;225,17
1247;12,75;0,07;255,43
1249;0;0,85;0,85
1249;0,04;0,82;0,94
1249;0,09;0,73;1,19
1249;0,17;0,47;3,32
1249;0,34;0,34;7,14
1249;0,68;0,26;13,26
1249;1,7;0,19;34,43
1249;4,25;0,12;72,59
1249;12,75;0,09;136,26
1250;0;0,85;0,85
1250;0,04;0,81;0,94
1250;0,09;0,73;0,94
1250;0,17;0,6;1,45
1250;0,34;0,34;4,68
1250;0,68;0,26;8,84
1250;1,7;0,19;18,7
1250;4,25;0,14;38,42
1250;10,2;0,1;82,88
1250;12,75;0,09;100,56
1250;0;0,85;0,85
1251;0,04;0,84;0,94
1251;0,09;0,84;0,94
1251;0,17;0,82;0,94
1251;0,34;0,43;4,42
1251;0,68;0,33;10,12
1251;1,7;0,27;18,87
1251;4,25;0,25;30,04
1251;10,2;0,2;69,5
1251;12,75;0,19;79,5
1253;0;0,85;0,85
1253;0,04;0,85;0,85
1253;0,09;0,73;1,28
1253;0,17;0,47;3,15
1253;0,34;0,36;6,46
1253;0,68;0,29;10,63
1253;1,7;0,26;15,64
1253;4,25;0,21;26,5
1253;10,2;0,17;62,25
1254;0;0,85;0,85
1254;0,04;0,84;0,94
1254;0,09;0,84;0,94
1254;0,17;0,84;0,94
1254;0,34;0,82;1,02
1254;0,68;0,71;1,36
1254;1,7;0,54;2,64
1254;4,25;0,42;4,76
1254;10,2;0,26;11,99
1254;12,75;0,25;14,54
1256;0;0,85;0,85
1256;0,04;0,82;0,94
1256;0,09;0,8;1,02
1256;0,17;0,73;1,28
1256;0,34;0,48;3,74
1256;0,68;0,38;7,14
1256;1,7;0,3;14,62
1256;4,25;0,22;30,52
1256;12,75;0,18;57,89
1258;0;0,85;0,85
1258;0,04;0,85;0,94
1258;0,09;0,84;0,94
1258;0,17;0,84;0,94
