plug_id;g;h;i;j
421;50;;;138,00
421;100;;;138,00
421;150;;;126,50
421;224;;;115,00
421;27;0,26;;
421;136;0,26;;
421;272;0,26;;
421;408;0,26;;
421;544;0,26;;
421;680;0,26;;
421;816;0,26;;
421;952;0,26;;
421;1088;0,26;;
421;1224;0,25;;
421;1333;0,25;;
422;50;;;51,75
422;100;;;48,30
422;150;;;47,15
422;224;;;44,85
422;27;0,25;;
422;136;0,24;;
422;272;0,24;;
422;408;0,24;;
422;544;0,24;;
422;680;0,24;;
422;816;0,23;;
422;952;0,23;;
422;1088;0,23;;
422;1224;0,23;;
422;1333;0,23;;
424;50;;;71,30
424;100;;;70,15
424;150;;;67,85
424;224;;;65,55
424;27;0,27;;
424;136;0,26;;
424;272;0,26;;
424;408;0,26;;
424;544;0,26;;
424;680;0,26;;
424;816;0,25;;
424;952;0,25;;
424;1088;0,25;;
424;1224;0,25;;
424;1333;0,25;;
426;50;;;713,00
426;100;;;517,50
426;150;;;402,50
426;224;;;264,50
426;27;0,22;;
426;136;0,22;;
426;272;0,21;;
426;408;0,21;;
426;544;0,21;;
426;680;0,21;;
426;816;0,20;;
426;952;0,20;;
426;1088;0,20;;
426;1224;0,20;;
426;1333;0,20;;
427;50;;;11,50
427;100;;;11,50
427;150;;;10,47
427;224;;;10,24
427;27;0,20;;
427;136;0,19;;
427;272;0,19;;
427;408;0,19;;
427;544;0,19;;
427;680;0,19;;
427;816;0,18;;
427;952;0,18;;
427;1088;0,18;;
427;1224;0,18;;
427;1333;0,18;;
429;50;;;5,87
429;100;;;5,41
429;150;;;5,18
429;224;;;4,72
429;27;0,21;;
429;136;0,20;;
429;272;0,20;;
429;408;0,20;;
429;544;0,20;;
429;680;0,19;;
429;816;0,19;;
429;952;0,19;;
429;1088;0,19;;
429;1224;0,19;;
429;1333;0,19;;
430;224;0,15;56,28;
431;224;0,25;15,75;
432;224;0,26;15,72;
433;224;0,19;38,25;
434;224;0,20;31,87;
435;224;0,22;25,54;
436;224;0,19;43,09;
437;224;0,22;25,09;
438;224;0,17;42,03;
439;50;;;
439;100;;;
439;150;;;
439;224;;;
440;50;0,24;14,54;
440;100;0,24;15,64;
440;150;0,24;15,92;
440;224;0,24;16,86;
441;50;0,24;16,85;
441;100;0,22;18,01;
441;150;0,22;18,80;
441;224;0,22;19,63;
442;50;0,26;16,21;
442;100;0,26;17,96;
442;150;0,26;18,13;
442;224;0,26;19,02;
443;50;;;
443;100;;;
443;150;;;
443;224;;;
444;50;0,18;46,46;
444;100;0,17;47,18;
444;150;0,17;52,08;
444;224;0,16;53,68;
445;50;0,18;47,65;
445;100;0,17;49,98;
445;150;0,17;53,64;
445;224;0,17;57,96;
446;50;0,14;89,35;
446;100;0,13;104,00;
446;150;0,13;117,30;
446;224;0,13;134,28;
447;50;0,24;21,98;
447;100;0,23;22,05;
447;150;0,23;22,64;
447;224;0,23;24,34;
448;50;0,22;24,78;
448;100;0,22;26,40;
448;150;0,21;26,46;
448;224;0,21;27,02;
1200;40;0,31;11,03;1959,85
1200;100;0,29;11,69;1699,88
1200;150;0,29;12,28;1638,27
1200;200;0,28;12,28;1587,05
1200;300;0,28;12,77;1497,24
1200;400;0,28;13,23;1434,55
1212;40;0,30;12,39;539,77
1212;100;0,29;13,33;467,74
1212;150;0,28;13,60;434,40
1212;200;0,28;13,88;428,17
1212;300;0,28;14,42;420,60
1212;400;0,27;14,31;395,69
1215;40;0,30;12,18;627,59
1215;100;0,29;13,06;544,18
1215;150;0,29;13,73;532,65
1215;200;0,28;13,65;504,46
1215;300;0,28;14,24;497,12
1215;400;0,27;14,08;457,37
1221;40;0,26;18,52;24,21
1221;100;0,25;19,84;20,95
1221;150;0,25;20,81;20,17
1221;200;0,25;21,50;19,89
1221;300;0,24;21,53;18,35
1221;400;0,24;22,22;18,13
1229;40;0,32;11,55;670,04
1229;100;0,31;12,47;597,86
1229;150;0,30;12,60;561,07
1229;200;0,30;12,97;540,93
1229;300;0,29;13,02;521,77
1229;400;0,29;13,46;511,56
1233;40;0,33;8,97;2441,08
1233;100;0,31;9,64;2086,19
1233;150;0,30;9,92;1957,41
1233;200;0,30;10,23;1900,00
1233;300;0,29;10,36;1810,20
1233;400;0,29;10,85;1732,93
1234;40;;12,25;122,71
1234;100;;13,00;113,28
1234;150;;13,13;109,25
1234;200;;13,13;106,95
1234;300;;13,38;103,50
1234;400;;13,75;99,71
1239;40;;11,13;749,80
1239;100;;11,88;663,55
1239;150;;11,75;663,55
1239;200;;11,88;566,95
1239;300;;12,13;380,65
1239;400;;12,13;311,65
1240;40;;7,88;2659,95
1240;100;;8,38;2489,75
1240;150;;8,38;2317,25
1240;200;;8,50;2182,70
1240;300;;9,25;2095,30
1240;400;;10,00;1910,15
1242;40;;12,00;1300,65
1242;100;;12,63;1173,00
1242;150;;12,75;1152,30
1242;200;;12,88;1099,40
1242;300;;14,75;1058,00
1242;400;;15,25;1026,95
1243;40;;22,38;0,31
1243;100;;23,50;0,25
1243;150;;24,13;0,23
1243;200;;24,50;0,22
1243;300;;25,13;0,20
1243;400;;25,88;0,18
1244;40;;12,13;1302,95
1244;100;;12,63;1176,45
1244;150;;13,00;1095,95
1244;200;;13,00;1082,15
1244;300;;13,13;1045,35
1244;400;;13,38;1007,40
1246;40;;12,63;1212,10
1246;100;;13,38;941,85
1246;150;;13,50;869,40
1246;200;;13,25;849,85
1246;300;;13,50;805,00
1246;400;;13,63;771,65
1247;40;;12,75;664,70
1247;100;;13,63;622,15
1247;150;;13,75;601,45
1247;200;;13,88;577,30
1247;300;;15,25;571,55
1247;400;;16,25;549,70
1249;40;;10,88;634,80
1249;100;;11,50;606,05
1249;150;;11,63;580,75
1249;200;;11,75;569,25
1249;300;;12,50;562,35
1249;400;;13,25;549,70
1250;40;;12,38;453,10
1250;100;;12,88;407,10
1250;150;;13,25;382,95
1250;200;;13,38;373,75
1250;300;;13,50;359,95
1250;400;;13,75;349,60
1251;40;;20,25;109,94
1251;100;;20,75;104,65
1251;150;;21,13;102,35
1251;200;;21,13;102,01
1251;300;;21,38;100,17
