well_id;name;latitude;longitude
4987;A-1;56,9163;3,0719
4993;A-2;56,8996;3,1205
5033;A-3;56,6427;3,3203
5172;B;56,4446;3,2788
5238;C;56,4231;3,4880
5296;D;56,2395;3,7126
5316;E;57,9745;1,9301
5346;F;57,0745;2,4397
5360;G-1;57,1165;2,8524
5363;G-2;57,1118;2,8165
5852;H;59,4835;1,9674
5892;I;59,9240;2,0862
5943;J-1;59,9684;2,3997
5944;J-2;59,7988;2,4585
5952;J-3;59,8709;2,6357
6032;K;59,5306;2,8056
6041;L;59,4408;2,3294
6061;M-1;59,4625;2,3695
6067;M-2;59,4361;2,4102
6066;M-3;59,4361;2,4102
6068;M-4;59,4361;2,4102
6333;N;60,9088;3,6521
6378;O;60,5390;3,0958
6427;P;61,3250;1,9985
6494;Q;61,5951;2,7589
6537;R-1;61,4917;2,2004
6540;R-2;61,4224;2,1317
6566;R-3;61,3452;2,0804
6635;S;61,1072;2,2328
6984;T;65,1710;6,7837
6999;U-1;65,9800;7,8304
7004;U-2;65,9929;7,8510
7028;V-1;65,3249;7,2675
7031;V-2;65,3633;7,3245
7053;X-1;65,0839;7,4948
7057;X-2;65,0383;7,5168
7083;Y-1;66,3171;5,5338
7129;Y-2;66,2975;10,2864
7161;Z-1;71,5861;20,4417
7166;Z-2;71,3249;20,3340
